age: 0, balance: 190.0, currentnode: 0, lastnode: -1, lastoutcome: True
age: 1, balance: 189.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 2, balance: 190.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 3, balance: 189.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 4, balance: 187.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 5, balance: 186.0, currentnode: 2, lastnode: 1, lastoutcome: False
age: 6, balance: 184.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 7, balance: 180.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 8, balance: 181.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 9, balance: 177.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 10, balance: 169.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 11, balance: 168.0, currentnode: 2, lastnode: 1, lastoutcome: False
age: 12, balance: 176.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 13, balance: 192.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 14, balance: 190.0, currentnode: 2, lastnode: 1, lastoutcome: False
age: 15, balance: 191.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 16, balance: 190.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 17, balance: 194.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 18, balance: 193.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 19, balance: 194.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 20, balance: 195.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 21, balance: 196.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 22, balance: 197.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 23, balance: 196.0, currentnode: 2, lastnode: 1, lastoutcome: False
age: 24, balance: 195.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 25, balance: 196.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 26, balance: 194.0, currentnode: 2, lastnode: 1, lastoutcome: False
age: 27, balance: 192.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 28, balance: 191.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 29, balance: 187.0, currentnode: 2, lastnode: 1, lastoutcome: False
age: 30, balance: 183.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 31, balance: 181.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 32, balance: 189.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 33, balance: 197.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 34, balance: 201.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 35, balance: 200.0, currentnode: 2, lastnode: 1, lastoutcome: False
age: 36, balance: 199.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 37, balance: 198.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 38, balance: 199.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 39, balance: 197.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 40, balance: 198.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 41, balance: 199.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 42, balance: 203.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 43, balance: 204.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 44, balance: 205.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 45, balance: 206.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 46, balance: 207.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 47, balance: 208.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 48, balance: 209.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 49, balance: 210.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 50, balance: 209.0, currentnode: 2, lastnode: 1, lastoutcome: False
age: 51, balance: 210.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 52, balance: 209.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 53, balance: 207.0, currentnode: 2, lastnode: 1, lastoutcome: False
age: 54, balance: 208.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 55, balance: 206.0, currentnode: 1, lastnode: 0, lastoutcome: False
