Date,Open,High,Low,Close,Adj Close,Volume
2016-01-29,0.986291,0.986875,0.975248,0.986388,0.986388,0
2016-02-01,0.976277,0.984455,0.976277,0.976086,0.976086,0
2016-02-02,0.980786,0.983236,0.978282,0.980873,0.980873,0
2016-02-03,0.981614,0.994313,0.981056,0.981653,0.981653,0
2016-02-04,0.994827,1.006036,0.992753,0.994827,0.994827,0
2016-02-05,1.006847,1.010632,1.001633,1.006654,1.006654,0
2016-02-08,1.007354,1.010816,1.002918,1.007252,1.007252,0
2016-02-09,1.012945,1.031417,1.012945,1.013069,1.013069,0
2016-02-10,1.027855,1.029866,1.018942,1.027855,1.027855,0
2016-02-11,1.027337,1.034940,1.025851,1.027327,1.027327,0
2016-02-12,1.028479,1.029442,1.022265,1.028489,1.028489,0
2016-02-15,1.022495,1.023332,1.011317,1.022286,1.022286,0
2016-02-16,1.014281,1.015641,1.010765,1.014507,1.014507,0
2016-02-17,1.011777,1.015022,1.005925,1.011838,1.011838,0
2016-02-18,1.007425,1.009795,1.003351,1.007557,1.007557,0
2016-02-19,1.006897,1.009917,1.003412,1.006958,1.006958,0
2016-02-22,1.009479,1.009713,1.000260,1.009469,1.009469,0
2016-02-23,0.999960,1.010295,0.999960,1.000500,1.000500,0
2016-02-24,1.008878,1.013890,1.004924,1.009082,1.009082,0
2016-02-25,1.010897,1.012381,1.005288,1.011020,1.011020,0
2016-02-26,1.009999,1.013171,1.001482,1.010101,1.010101,0
2016-02-29,1.003412,1.004924,0.996343,1.003311,1.003311,0
2016-03-01,1.002094,1.003311,0.999231,1.002305,1.002305,0
2016-03-02,1.003462,1.004520,0.999360,1.003412,1.003412,0
2016-03-03,1.003613,1.009510,1.001904,1.003613,1.003613,0
2016-03-04,1.007628,1.012125,1.001904,1.007760,1.007760,0
2016-03-07,1.005834,1.007354,0.998801,1.006137,1.006137,0
2016-03-08,1.004319,1.009968,1.004319,1.004722,1.004722,0
2016-03-09,1.003714,1.004470,0.996800,1.003603,1.003603,0
2016-03-10,1.001904,1.014477,0.990972,1.001803,1.001803,0
2016-03-11,1.015744,1.018123,1.011317,1.015744,1.015744,0
2016-03-14,1.017553,1.017915,1.012146,1.017605,1.017605,0
2016-03-15,1.013274,1.015228,1.010632,1.013151,1.013151,0
2016-03-16,1.013069,1.013685,1.008837,1.013171,1.013171,0
2016-03-17,1.022599,1.036055,1.022056,1.022568,1.022568,0
2016-03-18,1.033934,1.035947,1.029145,1.034073,1.034073,0
2016-03-21,1.031183,1.033592,1.027855,1.031640,1.031640,0
2016-03-22,1.030163,1.032205,1.028108,1.030142,1.030142,0
2016-03-23,1.027961,1.028278,1.024223,1.027961,1.027961,0
2016-03-24,1.025220,1.027010,1.023280,1.025326,1.025326,0
2016-03-25,1.024601,1.024874,1.021993,1.024601,1.024601,0
2016-03-28,1.021972,1.028701,1.021972,1.022181,1.022181,0
2016-03-29,1.027190,1.028500,1.024695,1.027274,1.027274,0
2016-03-30,1.034757,1.042438,1.034340,1.034768,1.034768,0
2016-03-31,1.036237,1.044495,1.035025,1.036323,1.036323,0
2016-04-01,1.040334,1.045446,1.039123,1.040583,1.040583,0
2016-04-04,1.043188,1.044714,1.040150,1.043188,1.043188,0
2016-04-05,1.042753,1.046901,1.041536,1.042970,1.042970,0
2016-04-06,1.045369,1.049010,1.039479,1.045577,1.045577,0
2016-04-07,1.046321,1.050310,1.043809,1.046561,1.046561,0
2016-04-08,1.045588,1.049869,1.043700,1.045916,1.045916,0
2016-04-11,1.048878,1.052366,1.044998,1.048933,1.048933,0
2016-04-12,1.048108,1.052853,1.042612,1.048152,1.048152,0
2016-04-13,1.046792,1.047340,1.035400,1.046792,1.046792,0
2016-04-14,1.034661,1.037560,1.032365,1.034661,1.034661,0
2016-04-15,1.034875,1.036484,1.032301,1.034875,1.034875,0
2016-04-18,1.034875,1.038422,1.033389,1.034875,1.034875,0
2016-04-19,1.036731,1.043025,1.036377,1.036753,1.036753,0
2016-04-20,1.039717,1.041417,1.033720,1.039663,1.039663,0
2016-04-21,1.029760,1.036645,1.026536,1.029654,1.029654,0
2016-04-22,1.025957,1.027644,1.022777,1.026030,1.026030,0
2016-04-25,1.022129,1.027010,1.022129,1.022234,1.022234,0
2016-04-26,1.025641,1.030768,1.024265,1.025746,1.025746,0
2016-04-27,1.027010,1.029972,1.026504,1.027116,1.027116,0
2016-04-28,1.029972,1.035432,1.027644,1.030057,1.030057,0
2016-04-29,1.035090,1.045041,1.034704,1.034982,1.034982,0
2016-05-02,1.043079,1.047779,1.041222,1.043079,1.043079,0
2016-05-03,1.046824,1.058985,1.046824,1.046901,1.046901,0
2016-05-04,1.048548,1.048878,1.042992,1.048438,1.048438,0
2016-05-05,1.044932,1.045151,1.032493,1.044943,1.044943,0
2016-05-06,1.032951,1.035518,1.028902,1.033197,1.033197,0
2016-05-09,1.027982,1.032738,1.027179,1.028278,1.028278,0
2016-05-10,1.029866,1.031140,1.025220,1.029728,1.029728,0
2016-05-11,1.025305,1.031045,1.025115,1.025431,1.025431,0
2016-05-12,1.029972,1.034832,1.028257,1.030184,1.030184,0
2016-05-13,1.029972,1.030928,1.023332,1.029909,1.029909,0
2016-05-16,1.025115,1.025957,1.023332,1.024968,1.024968,0
2016-05-17,1.022432,1.025641,1.020231,1.022495,1.022495,0
2016-05-18,1.020106,1.020616,1.016054,1.020408,1.020408,0
2016-05-19,1.012228,1.013890,1.007953,1.012351,1.012351,0
2016-05-20,1.009255,1.010203,1.007597,1.009795,1.009795,0
2016-05-23,1.008960,1.011941,1.007810,1.009072,1.009072,0
2016-05-24,1.010611,1.010918,1.006350,1.010407,1.010407,0
2016-05-25,1.006755,1.010305,1.006755,1.006948,1.006948,0
2016-05-26,1.008980,1.012966,1.007932,1.009082,1.009082,0
2016-05-27,1.010928,1.011736,1.007141,1.010918,1.010918,0
2016-05-30,1.005318,1.008268,1.004541,1.005359,1.005359,0
2016-05-31,1.008573,1.011327,1.005379,1.008776,1.008776,0
2016-06-01,1.007039,1.013993,1.005126,1.006968,1.006968,0
2016-06-02,1.012043,1.014405,1.009479,1.011634,1.011634,0
2016-06-03,1.009591,1.024968,1.008136,1.009724,1.009724,0
2016-06-06,1.024506,1.029877,1.023018,1.024359,1.024359,0
2016-06-07,1.030960,1.036688,1.029537,1.030673,1.030673,0
2016-06-08,1.035969,1.043623,1.035432,1.036162,1.036162,0
2016-06-09,1.043515,1.044277,1.035947,1.043515,1.043515,0
2016-06-10,1.036914,1.039598,1.035904,1.036893,1.036893,0
2016-06-13,1.036807,1.038184,1.033367,1.036914,1.036914,0
2016-06-14,1.038637,1.038853,1.034469,1.038896,1.038896,0
2016-06-15,1.037883,1.040258,1.035047,1.038098,1.038098,0
2016-06-16,1.040475,1.044877,1.032461,1.040799,1.040799,0
2016-06-17,1.036495,1.041233,1.035786,1.036280,1.036280,0
2016-06-20,1.042101,1.044299,1.039296,1.041884,1.041884,0
2016-06-21,1.039717,1.044495,1.039393,1.040150,1.040150,0
2016-06-22,1.039501,1.046901,1.038778,1.039609,1.039609,0
2016-06-23,1.042220,1.050233,1.041602,1.042101,1.042101,0
2016-06-24,1.039793,1.042329,1.021075,1.039771,1.039771,0
2016-06-27,1.027939,1.029018,1.019347,1.028172,1.028172,0
2016-06-28,1.022077,1.024380,1.017449,1.021920,1.021920,0
2016-06-29,1.019982,1.022495,1.018060,1.019992,1.019992,0
2016-06-30,1.020919,1.027644,1.018485,1.021169,1.021169,0
2016-07-01,1.024275,1.029654,1.022652,1.024338,1.024338,0
2016-07-04,1.026378,1.029909,1.024905,1.026273,1.026273,0
2016-07-05,1.029940,1.031928,1.023751,1.029909,1.029909,0
2016-07-06,1.023646,1.025410,1.019961,1.023646,1.023646,0
2016-07-07,1.025673,1.026799,1.022307,1.025851,1.025851,0
2016-07-08,1.021972,1.023751,1.013890,1.021764,1.021764,0
2016-07-11,1.017108,1.019160,1.014538,1.017294,1.017294,0
2016-07-12,1.017750,1.020794,1.012187,1.017636,1.017636,0
2016-07-13,1.011102,1.017739,1.010816,1.011061,1.011061,0
2016-07-14,1.015837,1.024066,1.015692,1.015950,1.015950,0
2016-07-15,1.018859,1.022390,1.015672,1.018984,1.018984,0
2016-07-18,1.016580,1.018392,1.015672,1.016467,1.016467,0
