Index,ClosingPrice,Prediction,Outcome,ConsecutiveLosses
5,1.115324,Neutral,Neutral,
6,1.125366,Neutral,Neutral,
7,1.124101,Neutral,Neutral,
8,1.127142,Neutral,Neutral,
9,1.124113,Neutral,Neutral,
10,1.124354,Neutral,Neutral,
11,1.121869,Neutral,Neutral,
12,1.124733,Neutral,Neutral,
13,1.124594,Neutral,Neutral,
14,1.115847,Neutral,Neutral,
15,1.118068,Negative,Win,0
16,1.115399,Neutral,Neutral,
17,1.119319,Negative,Loss,1
18,1.121013,Neutral,Neutral,
19,1.123924,Positive,Win,0
20,1.124986,Positive,Loss,1
21,1.121957,Positive,Win,0
22,1.122498,Neutral,Neutral,
23,1.121957,Neutral,Neutral,
24,1.123469,Neutral,Neutral,
25,1.121039,Neutral,Neutral,
26,1.121076,Neutral,Neutral,
27,1.120825,Neutral,Neutral,
28,1.114455,Neutral,Neutral,
29,1.119695,Negative,Win,0
30,1.114082,Neutral,Neutral,
31,1.106195,Negative,Win,0
32,1.101188,Negative,Loss,1
33,1.104972,Negative,Win,0
34,1.09678,Negative,Loss,1
35,1.101564,Negative,Win,0
36,1.097695,Neutral,Neutral,
37,1.097514,Neutral,Neutral,
38,1.09304,Negative,Win,0
39,1.088258,Negative,Win,0
40,1.087548,Negative,Loss,1
41,1.088732,Negative,Loss,2
42,1.091203,Negative,Win,0
43,1.090037,Neutral,Neutral,
44,1.098467,Neutral,Neutral,
45,1.097333,Positive,Win,0
46,1.105705,Neutral,Neutral,
47,1.109755,Neutral,Neutral,
48,1.110248,Positive,Loss,1
49,1.110124,Positive,Loss,2
50,1.105217,Positive,Loss,3
51,1.101904,Neutral,Neutral,
52,1.092061,Negative,Win,0
53,1.088969,Negative,Win,0
54,1.082485,Negative,Win,0
55,1.075038,Negative,Win,0
56,1.072731,Negative,Win,0
57,1.070664,Negative,Win,0
58,1.062304,Negative,Win,0
59,1.058425,Negative,Loss,1
60,1.063886,Negative,Win,0
61,1.063377,Negative,Win,0
62,1.054519,Negative,Loss,1
63,1.056189,Negative,Loss,2
64,1.061233,Neutral,Neutral,
65,1.062135,Neutral,Neutral,
66,1.064849,Positive,Loss,3
67,1.05921,Positive,Win,0
68,1.066314,Neutral,Neutral,
69,1.058201,Positive,Win,0
70,1.075732,Neutral,Neutral,
71,1.072041,Neutral,Neutral,
72,1.076195,Neutral,Neutral,
73,1.062135,Neutral,Neutral,
74,1.054741,Neutral,Neutral,
75,1.064169,Negative,Win,0
76,1.062925,Neutral,Neutral,
77,1.051414,Negative,Win,0
78,1.041884,Negative,Loss,1
79,1.044998,Negative,Win,0
80,1.040583,Negative,Win,0
81,1.039047,Negative,Loss,1
82,1.042862,Negative,Loss,2
83,1.043765,Neutral,Neutral,
84,1.045478,Neutral,Neutral,
85,1.045697,Positive,Win,0
86,1.046233,Positive,Loss,1
87,1.041699,Positive,Win,0
88,1.05753,Neutral,Neutral,
89,1.052698,Positive,Loss,1
90,1.046003,Neutral,Neutral,
91,1.041992,Neutral,Neutral,
92,1.050089,Negative,Loss,2
93,1.060592,Neutral,Neutral,
94,1.053186,Neutral,Neutral,
95,1.058862,Neutral,Neutral,
96,1.055242,Positive,Win,0
97,1.059771,Neutral,Neutral,
98,1.061684,Neutral,Neutral,
99,1.062869,Positive,Loss,1
100,1.060299,Positive,Win,0
101,1.069679,Neutral,Neutral,
102,1.062778,Positive,Win,0
103,1.065973,Neutral,Neutral,
104,1.071375,Neutral,Neutral,
105,1.076079,Positive,Loss,1
106,1.072869,Positive,Win,0
107,1.075199,Positive,Loss,1
108,1.068296,Positive,Win,0
109,1.071398,Neutral,Neutral,
110,1.070859,Neutral,Neutral,
111,1.08038,Neutral,Neutral,
112,1.076739,Neutral,Neutral,
113,1.076171,Neutral,Neutral,
114,1.078295,Neutral,Neutral,
115,1.074322,Neutral,Neutral,
116,1.067806,Negative,Loss,1
117,1.069221,Negative,Win,0
118,1.065859,Neutral,Neutral,
119,1.061954,Negative,Win,0
120,1.05985,Negative,Win,0
121,1.057832,Negative,Loss,1
122,1.060738,Negative,Loss,2
123,1.067225,Negative,Win,0
124,1.062665,Neutral,Neutral,
125,1.06094,Neutral,Neutral,
126,1.054207,Neutral,Neutral,
127,1.055409,Negative,Loss,1
128,1.058447,Negative,Win,0
129,1.055275,Neutral,Neutral,
130,1.058425,Neutral,Neutral,
131,1.056915,Positive,Loss,1
132,1.053585,Neutral,Neutral,
133,1.050972,Negative,Loss,2
134,1.062045,Negative,Win,0
135,1.057921,Neutral,Neutral,
136,1.057015,Neutral,Neutral,
137,1.054741,Neutral,Neutral,
138,1.057843,Negative,Loss,1
139,1.069004,Negative,Win,0
140,1.065144,Neutral,Neutral,
141,1.061244,Neutral,Neutral,
142,1.073791,Neutral,Neutral,
143,1.07747,Neutral,Neutral,
144,1.074299,Neutral,Neutral,
145,1.073768,Neutral,Neutral,
146,1.081245,Neutral,Neutral,
147,1.079016,Neutral,Neutral,
148,1.078388,Neutral,Neutral,
149,1.084952,Neutral,Neutral,
150,1.086095,Neutral,Neutral,
151,1.081771,Neutral,Neutral,
152,1.075963,Neutral,Neutral,
153,1.068707,Neutral,Neutral,
154,1.066883,Negative,Loss,1
155,1.067008,Negative,Loss,2
156,1.068034,Negative,Win,0
157,1.067247,Neutral,Neutral,
158,1.064464,Neutral,Neutral,
159,1.058201,Neutral,Neutral,
160,1.05976,Negative,Loss,1
161,1.061132,Negative,Loss,2
162,1.067065,Neutral,Neutral,
163,1.061639,Positive,Loss,3
164,1.061053,Neutral,Neutral,
165,1.064453,Neutral,Neutral,
166,1.072869,Neutral,Neutral,
167,1.071501,Neutral,Neutral,
168,1.07149,Neutral,Neutral,
169,1.087394,Neutral,Neutral,
170,1.086484,Neutral,Neutral,
171,1.092825,Neutral,Neutral,
172,1.090893,Neutral,Neutral,
173,1.086425,Neutral,Neutral,
174,1.09075,Negative,Loss,4
175,1.090893,Neutral,Neutral,
176,1.093565,Neutral,Neutral,
177,1.088898,Positive,Win,0
178,1.098153,Neutral,Neutral,
179,1.096515,Positive,Loss,1
180,1.092777,Neutral,Neutral,
181,1.088684,Neutral,Neutral,
182,1.087075,Negative,Win,0
183,1.086496,Negative,Loss,1
184,1.092729,Negative,Loss,2
185,1.098177,Neutral,Neutral,
186,1.109398,Neutral,Neutral,
187,1.115636,Positive,Loss,3
188,1.111358,Positive,Win,0
189,1.120486,Positive,Win,0
190,1.123886,Positive,Loss,1
191,1.117931,Positive,Win,0
192,1.123091,Neutral,Neutral,
193,1.121076,Positive,Loss,1
194,1.117606,Neutral,Neutral,
195,1.112904,Negative,Loss,2
196,1.117169,Negative,Loss,3
197,1.124354,Negative,Win,0
198,1.121579,Neutral,Neutral,
199,1.128083,Neutral,Neutral,
200,1.125682,Positive,Win,0
201,1.127142,Neutral,Neutral,
202,1.125518,Neutral,Neutral,
203,1.118481,Neutral,Neutral,
204,1.120197,Negative,Win,0
205,1.11962,Neutral,Neutral,
206,1.120888,Negative,Loss,1
207,1.121579,Neutral,Neutral,
208,1.114691,Positive,Win,0
209,1.120825,Neutral,Neutral,
210,1.114455,Neutral,Neutral,
211,1.113697,Neutral,Neutral,
212,1.11672,Negative,Win,0
213,1.114964,Neutral,Neutral,
214,1.119884,Negative,Win,0
215,1.118356,Neutral,Neutral,
216,1.133915,Neutral,Neutral,
217,1.138265,Neutral,Neutral,
218,1.144165,Positive,Loss,1
219,1.142309,Positive,Loss,2
220,1.137139,Positive,Loss,3
221,1.136015,Neutral,Neutral,
222,1.134687,Negative,Loss,4
223,1.142478,Negative,Win,0
224,1.140381,Neutral,Neutral,
225,NaN,Neutral,Neutral,
226,1.147394,Neutral,Neutral,
227,1.141891,Neutral,Neutral,
228,1.140394,Neutral,Neutral,
229,1.147539,Neutral,Neutral,
230,1.147434,Neutral,Neutral,
231,1.154974,Neutral,Neutral,
232,1.152844,Neutral,Neutral,
233,1.162872,Neutral,Neutral,
234,1.16817,Neutral,Neutral,
235,1.163887,Positive,Win,0
236,1.164456,Neutral,Neutral,
237,1.1728,Positive,Loss,1
238,1.168866,Positive,Win,0
239,1.174729,Neutral,Neutral,
240,1.18241,Positive,Loss,1
241,1.181126,Positive,Win,0
242,1.185115,Neutral,Neutral,
243,1.188495,Positive,Loss,1
244,1.177842,Positive,Win,0
245,1.180094,Neutral,Neutral,
246,1.175461,Neutral,Neutral,
247,1.176152,Neutral,Neutral,
248,1.177024,Neutral,Neutral,
249,1.18255,Neutral,Neutral,
250,1.177579,Positive,Loss,1
251,1.174122,Neutral,Neutral,
252,1.177426,Neutral,Neutral,
253,1.17155,Neutral,Neutral,
254,1.175627,Negative,Loss,2
255,1.181195,Neutral,Neutral,
256,1.176221,Positive,Win,0
257,1.181656,Neutral,Neutral,
258,1.18022,Positive,Win,0
259,1.195186,Neutral,Neutral,
260,1.196387,Neutral,Neutral,
261,1.197046,Positive,Loss,1
262,1.189343,Positive,Win,0
263,1.191043,Neutral,Neutral,
264,1.188284,Neutral,Neutral,
265,1.189343,Neutral,Neutral,
266,1.192407,Neutral,Neutral,
267,1.192777,Positive,Win,0
268,1.202906,Positive,Loss,1
269,1.201764,Positive,Loss,2
270,1.195943,Positive,Win,0
271,1.197461,Neutral,Neutral,
272,1.189061,Neutral,Neutral,
273,1.192165,Negative,Loss,1
274,1.193716,Neutral,Neutral,
275,1.195929,Neutral,Neutral,
276,1.199256,Positive,Loss,2
277,1.187211,Positive,Win,0
278,1.194558,Neutral,Neutral,
279,1.19272,Neutral,Neutral,
280,1.185565,Neutral,Neutral,
281,1.178606,Negative,Win,0
282,1.174964,Negative,Loss,1
283,1.178175,Negative,Loss,2
284,1.180735,Negative,Win,0
285,1.173378,Neutral,Neutral,
286,1.174757,Neutral,Neutral,
