Date,Open,High,Low,Close
01/17/2025,"2,746.80","2,759.20","2,729.20","2,748.70"
01/16/2025,"2,722.30","2,757.90","2,720.40","2,750.90"
01/15/2025,"2,693.30","2,722.70","2,685.40","2,717.80"
01/14/2025,"2,682.00","2,693.70","2,672.00","2,682.30"
01/13/2025,"2,716.80","2,723.80","2,675.20","2,678.60"
01/10/2025,"2,692.90","2,735.00","2,686.90","2,715.00"
01/09/2025,"2,690.80","2,696.80","2,690.80","2,690.80"
01/08/2025,"2,662.90","2,687.00","2,658.40","2,672.40"
01/07/2025,"2,647.10","2,678.50","2,643.50","2,665.40"
01/06/2025,"2,652.80","2,663.80","2,624.60","2,647.40"
01/03/2025,"2,671.10","2,681.00","2,649.70","2,654.70"
01/02/2025,"2,641.00","2,674.20","2,636.10","2,669.00"
12/31/2024,"2,620.00","2,642.00","2,614.30","2,641.00"
12/30/2024,"2,636.10","2,640.70","2,608.40","2,618.10"
12/27/2024,"2,653.70","2,654.60","2,625.20","2,631.90"
12/26/2024,"2,638.00","2,655.70","2,634.10","2,653.90"
12/24/2024,"2,629.40","2,635.80","2,624.20","2,635.50"
12/23/2024,"2,639.10","2,646.80","2,623.20","2,628.20"
12/20/2024,"2,609.70","2,653.80","2,603.70","2,645.10"
12/19/2024,"2,600.60","2,640.90","2,596.70","2,608.10"
12/18/2024,"2,663.30","2,667.60","2,598.10","2,653.30"
12/17/2024,"2,670.20","2,675.80","2,646.10","2,662.00"
12/16/2024,"2,668.00","2,683.40","2,661.40","2,670.00"
12/13/2024,"2,704.90","2,716.40","2,663.30","2,675.80"
12/12/2024,"2,753.60","2,761.30","2,696.70","2,709.40"
12/11/2024,"2,721.20","2,759.70","2,719.10","2,756.70"
12/10/2024,"2,684.40","2,721.70","2,680.70","2,718.40"
12/09/2024,"2,665.00","2,700.00","2,649.70","2,685.80"
12/06/2024,"2,655.00","2,667.90","2,635.60","2,659.60"
12/05/2024,"2,674.20","2,680.00","2,646.30","2,648.40"
12/04/2024,"2,665.80","2,682.00","2,654.20","2,676.20"
12/03/2024,"2,662.00","2,678.40","2,656.60","2,667.90"
12/02/2024,"2,673.80","2,678.50","2,644.50","2,658.50"
11/29/2024,"2,661.90","2,690.50","2,657.50","2,681.00"
11/27/2024,"2,633.50","2,657.90","2,627.20","2,639.90"
11/26/2024,"2,626.20","2,642.70","2,605.30","2,621.30"
11/25/2024,"2,716.90","2,723.20","2,616.60","2,618.50"
11/22/2024,"2,672.00","2,718.50","2,670.10","2,712.20"
11/21/2024,"2,653.50","2,676.50","2,651.60","2,674.90"
11/20/2024,"2,635.80","2,659.00","2,621.90","2,651.70"
11/19/2024,"2,616.30","2,643.40","2,614.20","2,631.00"
11/18/2024,"2,571.50","2,619.50","2,568.50","2,614.60"
11/15/2024,"2,570.40","2,580.80","2,558.90","2,570.10"
11/14/2024,"2,578.10","2,585.80","2,541.50","2,572.90"
11/13/2024,"2,604.70","2,625.00","2,578.10","2,586.50"
11/12/2024,"2,625.70","2,633.40","2,595.70","2,606.30"
11/11/2024,"2,692.10","2,693.40","2,617.10","2,617.70"
11/08/2024,"2,713.60","2,717.80","2,687.30","2,694.80"
11/07/2024,"2,667.70","2,718.30","2,650.30","2,705.80"
11/06/2024,"2,752.60","2,758.80","2,660.70","2,676.30"
11/05/2024,"2,746.00","2,759.50","2,733.40","2,749.70"
11/04/2024,"2,743.50","2,757.50","2,739.40","2,746.20"
11/01/2024,"2,754.00","2,772.40","2,742.60","2,749.20"
10/31/2024,"2,799.10","2,801.20","2,741.80","2,749.30"
10/30/2024,"2,786.90","2,801.80","2,782.40","2,800.80"
10/29/2024,"2,754.30","2,787.70","2,752.00","2,781.10"
10/28/2024,"2,749.20","2,758.30","2,736.90","2,755.90"
10/25/2024,"2,748.60","2,760.90","2,729.10","2,754.60"
10/24/2024,"2,729.20","2,756.30","2,728.70","2,748.90"
10/23/2024,"2,762.60","2,772.60","2,722.10","2,729.40"
