date,price,sma,trend,risk,balance
2013-10-26 00:00:00 UTC,178.96,190.094,bearish,20,-7.5
2013-10-27 00:00:00 UTC,189.83,189.37,bullish,20,10.5
2013-10-28 00:00:00 UTC,198.55,187.724,bullish,20,28.5
2013-10-29 00:00:00 UTC,204.39,188.842,bullish,20,46.5
2013-10-30 00:00:00 UTC,204.2,195.186,bullish,20,26.5
2013-10-31 00:00:00 UTC,203.88,200.17,bullish,20,6.5
2013-11-01 00:00:00 UTC,205.26,203.256,bullish,20,24.5
2013-11-02 00:00:00 UTC,206.89,204.924,bullish,20,42.5
2013-11-03 00:00:00 UTC,212.45,206.536,bullish,20,60.5
2013-11-04 00:00:00 UTC,226.28,210.952,bullish,20,78.5
2013-11-05 00:00:00 UTC,230.63,216.302,bullish,20,96.5
2013-11-06 00:00:00 UTC,260.85,227.42,bullish,20,114.5
2013-11-07 00:00:00 UTC,295.63,245.168,bullish,20,132.5
2013-11-08 00:00:00 UTC,332.02,269.082,bullish,20,150.5
2013-11-09 00:00:00 UTC,358,295.426,bullish,20,168.5
2013-11-10 00:00:00 UTC,313,311.9,bullish,20,148.5
2013-11-11 00:00:00 UTC,340.55,327.84,bullish,20,166.5
2013-11-12 00:00:00 UTC,355.48,339.81,bullish,20,184.5
2013-11-13 00:00:00 UTC,404.17,354.24,bullish,20,202.5
2013-11-14 00:00:00 UTC,408.84,364.408,bullish,20,220.5
2013-11-15 00:00:00 UTC,424.16,386.64,bullish,20,238.5
2013-11-16 00:00:00 UTC,437.41,406.012,bullish,20,256.5
2013-11-17 00:00:00 UTC,488.36,432.588,bullish,20,274.5
2013-11-18 00:00:00 UTC,580.87,467.928,bullish,20,292.5
2013-11-19 00:00:00 UTC,614.4,509.04,bullish,20,310.5
2013-11-20 00:00:00 UTC,565.34,537.276,bullish,20,290.5
2013-11-21 00:00:00 UTC,675.06,584.806,bullish,20,308.5
2013-11-22 00:00:00 UTC,731.15,633.364,bullish,20,326.5
2013-11-23 00:00:00 UTC,819.31,681.052,bullish,20,344.5
2013-11-24 00:00:00 UTC,764.43,711.058,bullish,20,324.5
2013-11-25 00:00:00 UTC,793.07,756.604,bullish,20,342.5
2013-11-26 00:00:00 UTC,832.93,788.178,bullish,20,360.5
2013-11-27 00:00:00 UTC,914.13,824.774,bullish,20,378.5
2013-11-28 00:00:00 UTC,979.08,856.728,bullish,20,396.5
2013-11-29 00:00:00 UTC,1101.83,924.208,bullish,20,414.5
2013-11-30 00:00:00 UTC,1127.45,991.084,bullish,20,432.5
2013-12-01 00:00:00 UTC,1033.39,1031.176,bullish,20,412.5
2013-12-02 00:00:00 UTC,974.03,1043.156,bearish,20,430.5
2013-12-03 00:00:00 UTC,1078.64,1063.068,bullish,20,448.5
2013-12-04 00:00:00 UTC,1121.48,1066.998,bullish,20,466.5
2013-12-05 00:00:00 UTC,989.04,1039.316,bearish,20,484.5
2013-12-06 00:00:00 UTC,1019.66,1036.57,bearish,20,464.5
2013-12-07 00:00:00 UTC,811.98,1004.16,bearish,20,482.5
2013-12-08 00:00:00 UTC,743.11,937.054,bearish,20,500.5
2013-12-09 00:00:00 UTC,897.89,892.336,bullish,20,518.5
2013-12-10 00:00:00 UTC,927.78,880.084,bullish,20,536.5
2013-12-11 00:00:00 UTC,887.08,853.568,bullish,20,516.5
2013-12-12 00:00:00 UTC,878.17,866.806,bullish,20,496.5
2013-12-13 00:00:00 UTC,897.27,897.638,bearish,20,476.5
2013-12-14 00:00:00 UTC,866.99,891.458,bearish,20,494.5
2013-12-15 00:00:00 UTC,854.62,876.826,bearish,20,512.5
2013-12-16 00:00:00 UTC,789.15,857.24,bearish,20,530.5
2013-12-17 00:00:00 UTC,691.65,819.936,bearish,20,548.5
2013-12-18 00:00:00 UTC,559.36,752.354,bearish,20,566.5
2013-12-19 00:00:00 UTC,677.84,714.524,bearish,20,546.5
2013-12-20 00:00:00 UTC,694.25,682.45,bullish,20,564.5
2013-12-21 00:00:00 UTC,596.12,643.844,bearish,20,582.5
2013-12-22 00:00:00 UTC,650.27,635.568,bullish,20,600.5
2013-12-23 00:00:00 UTC,645.75,652.846,bearish,20,618.5
2013-12-24 00:00:00 UTC,659.94,649.266,bullish,20,636.5
2013-12-25 00:00:00 UTC,668.74,644.164,bullish,20,654.5
2013-12-26 00:00:00 UTC,734.59,671.858,bullish,20,672.5
2013-12-27 00:00:00 UTC,734.27,688.658,bullish,20,652.5
2013-12-28 00:00:00 UTC,738.81,707.27,bullish,20,670.5
2013-12-29 00:00:00 UTC,726.47,720.576,bullish,20,650.5
2013-12-30 00:00:00 UTC,760.52,738.932,bullish,20,668.5
2013-12-31 00:00:00 UTC,755.16,743.046,bullish,20,648.5
2014-01-01 00:00:00 UTC,767.74,749.74,bullish,20,666.5
2014-01-02 00:00:00 UTC,772.53,756.484,bullish,20,684.5
2014-01-03 00:00:00 UTC,825.47,776.284,bullish,20,702.5
2014-01-04 00:00:00 UTC,849.14,794.008,bullish,20,720.5
2014-01-05 00:00:00 UTC,919.41,826.858,bullish,20,738.5
2014-01-06 00:00:00 UTC,936.38,860.586,bullish,20,756.5
2014-01-07 00:00:00 UTC,826.5,871.38,bearish,20,774.5
2014-01-08 00:00:00 UTC,838.32,873.95,bearish,20,754.5
2014-01-09 00:00:00 UTC,853.29,874.78,bearish,20,734.5
2014-01-10 00:00:00 UTC,863.3,863.558,bearish,20,714.5
2014-01-11 00:00:00 UTC,905.72,857.426,bullish,20,732.5
2014-01-12 00:00:00 UTC,867.45,865.616,bullish,20,712.5
2014-01-13 00:00:00 UTC,840.96,866.144,bearish,20,730.5
2014-01-14 00:00:00 UTC,838.05,863.096,bearish,20,748.5
2014-01-15 00:00:00 UTC,860.44,862.524,bearish,20,728.5
2014-01-16 00:00:00 UTC,837.98,848.976,bearish,20,746.5
2014-01-17 00:00:00 UTC,812.9,838.066,bearish,20,764.5
2014-01-18 00:00:00 UTC,840,837.874,bullish,20,782.5
2014-01-19 00:00:00 UTC,838.17,837.898,bullish,20,762.5
2014-01-20 00:00:00 UTC,869.15,839.64,bullish,20,780.5
2014-01-21 00:00:00 UTC,869.57,845.958,bullish,20,798.5
2014-01-22 00:00:00 UTC,865.03,856.384,bullish,20,778.5
2014-01-23 00:00:00 UTC,846.97,857.778,bearish,20,796.5
2014-01-24 00:00:00 UTC,808.32,851.808,bearish,20,814.5
2014-01-25 00:00:00 UTC,804.39,838.856,bearish,20,832.5
2014-01-26 00:00:00 UTC,853.51,835.644,bullish,20,850.5
2014-01-27 00:00:00 UTC,891.86,841.01,bullish,20,868.5
2014-01-28 00:00:00 UTC,777,827.016,bearish,20,886.5
2014-01-29 00:00:00 UTC,816.85,828.722,bearish,20,866.5
2014-01-30 00:00:00 UTC,817.17,831.278,bearish,20,846.5
2014-01-31 00:00:00 UTC,817.93,824.162,bearish,20,826.5
2014-02-01 00:00:00 UTC,832.52,812.294,bullish,20,844.5
2014-02-02 00:00:00 UTC,836.41,824.176,bullish,20,862.5
2014-02-03 00:00:00 UTC,813.38,823.482,bearish,20,880.5
2014-02-04 00:00:00 UTC,832.36,826.52,bullish,20,898.5
2014-02-05 00:00:00 UTC,830.92,829.118,bullish,20,878.5
2014-02-06 00:00:00 UTC,805.08,823.63,bearish,20,896.5
2014-02-07 00:00:00 UTC,721.32,800.612,bearish,20,914.5
2014-02-08 00:00:00 UTC,701.61,778.258,bearish,20,932.5
2014-02-09 00:00:00 UTC,672.07,746.2,bearish,20,950.5
2014-02-10 00:00:00 UTC,689.65,717.946,bearish,20,930.5
2014-02-11 00:00:00 UTC,697.76,696.482,bullish,20,948.5
2014-02-12 00:00:00 UTC,655.26,683.27,bearish,20,966.5
2014-02-13 00:00:00 UTC,651.91,673.33,bearish,20,984.5
2014-02-14 00:00:00 UTC,623.57,663.63,bearish,20,1002.5
2014-02-15 00:00:00 UTC,644.1,654.52,bearish,20,982.5
2014-02-16 00:00:00 UTC,613.85,637.738,bearish,20,1000.5
