snapped_at,price,5ma
2013-10-22 00:00:00 UTC,193.45,
2013-10-23 00:00:00 UTC,206.78,
2013-10-24 00:00:00 UTC,198.8,
2013-10-25 00:00:00 UTC,172.48,
2013-10-26 00:00:00 UTC,178.96,190.094
2013-10-27 00:00:00 UTC,189.83,189.37
2013-10-28 00:00:00 UTC,198.55,187.724
2013-10-29 00:00:00 UTC,204.39,188.842
2013-10-30 00:00:00 UTC,204.2,195.186
2013-10-31 00:00:00 UTC,203.88,200.17
2013-11-01 00:00:00 UTC,205.26,203.256
2013-11-02 00:00:00 UTC,206.89,204.924
2013-11-03 00:00:00 UTC,212.45,206.536
2013-11-04 00:00:00 UTC,226.28,210.952
2013-11-05 00:00:00 UTC,230.63,216.302
2013-11-06 00:00:00 UTC,260.85,227.42
2013-11-07 00:00:00 UTC,295.63,245.168
2013-11-08 00:00:00 UTC,332.02,269.082
2013-11-09 00:00:00 UTC,358,295.426
2013-11-10 00:00:00 UTC,313,311.9
2013-11-11 00:00:00 UTC,340.55,327.84
2013-11-12 00:00:00 UTC,355.48,339.81
2013-11-13 00:00:00 UTC,404.17,354.24
2013-11-14 00:00:00 UTC,408.84,364.408
2013-11-15 00:00:00 UTC,424.16,386.64
2013-11-16 00:00:00 UTC,437.41,406.012
2013-11-17 00:00:00 UTC,488.36,432.588
2013-11-18 00:00:00 UTC,580.87,467.928
2013-11-19 00:00:00 UTC,614.4,509.04
2013-11-20 00:00:00 UTC,565.34,537.276
2013-11-21 00:00:00 UTC,675.06,584.806
2013-11-22 00:00:00 UTC,731.15,633.364
2013-11-23 00:00:00 UTC,819.31,681.052
2013-11-24 00:00:00 UTC,764.43,711.058
2013-11-25 00:00:00 UTC,793.07,756.604
2013-11-26 00:00:00 UTC,832.93,788.178
2013-11-27 00:00:00 UTC,914.13,824.774
2013-11-28 00:00:00 UTC,979.08,856.728
2013-11-29 00:00:00 UTC,1101.83,924.208
2013-11-30 00:00:00 UTC,1127.45,991.084
2013-12-01 00:00:00 UTC,1033.39,1031.176
2013-12-02 00:00:00 UTC,974.03,1043.156
2013-12-03 00:00:00 UTC,1078.64,1063.068
2013-12-04 00:00:00 UTC,1121.48,1066.998
2013-12-05 00:00:00 UTC,989.04,1039.316
2013-12-06 00:00:00 UTC,1019.66,1036.57
2013-12-07 00:00:00 UTC,811.98,1004.16
2013-12-08 00:00:00 UTC,743.11,937.054
2013-12-09 00:00:00 UTC,897.89,892.336
2013-12-10 00:00:00 UTC,927.78,880.084
2013-12-11 00:00:00 UTC,887.08,853.568
2013-12-12 00:00:00 UTC,878.17,866.806
2013-12-13 00:00:00 UTC,897.27,897.638
2013-12-14 00:00:00 UTC,866.99,891.458
2013-12-15 00:00:00 UTC,854.62,876.826
2013-12-16 00:00:00 UTC,789.15,857.24
2013-12-17 00:00:00 UTC,691.65,819.936
2013-12-18 00:00:00 UTC,559.36,752.354
2013-12-19 00:00:00 UTC,677.84,714.524
2013-12-20 00:00:00 UTC,694.25,682.45
2013-12-21 00:00:00 UTC,596.12,643.844
2013-12-22 00:00:00 UTC,650.27,635.568
2013-12-23 00:00:00 UTC,645.75,652.846
2013-12-24 00:00:00 UTC,659.94,649.266
2013-12-25 00:00:00 UTC,668.74,644.164
2013-12-26 00:00:00 UTC,734.59,671.858
2013-12-27 00:00:00 UTC,734.27,688.658
2013-12-28 00:00:00 UTC,738.81,707.27
2013-12-29 00:00:00 UTC,726.47,720.576
2013-12-30 00:00:00 UTC,760.52,738.932
2013-12-31 00:00:00 UTC,755.16,743.046
2014-01-01 00:00:00 UTC,767.74,749.74
2014-01-02 00:00:00 UTC,772.53,756.484
2014-01-03 00:00:00 UTC,825.47,776.284
2014-01-04 00:00:00 UTC,849.14,794.008
2014-01-05 00:00:00 UTC,919.41,826.858
2014-01-06 00:00:00 UTC,936.38,860.586
2014-01-07 00:00:00 UTC,826.5,871.38
2014-01-08 00:00:00 UTC,838.32,873.95
2014-01-09 00:00:00 UTC,853.29,874.78
2014-01-10 00:00:00 UTC,863.3,863.558
2014-01-11 00:00:00 UTC,905.72,857.426
2014-01-12 00:00:00 UTC,867.45,865.616
2014-01-13 00:00:00 UTC,840.96,866.144
2014-01-14 00:00:00 UTC,838.05,863.096
2014-01-15 00:00:00 UTC,860.44,862.524
2014-01-16 00:00:00 UTC,837.98,848.976
2014-01-17 00:00:00 UTC,812.9,838.066
2014-01-18 00:00:00 UTC,840,837.874
2014-01-19 00:00:00 UTC,838.17,837.898
2014-01-20 00:00:00 UTC,869.15,839.64
2014-01-21 00:00:00 UTC,869.57,845.958
2014-01-22 00:00:00 UTC,865.03,856.384
2014-01-23 00:00:00 UTC,846.97,857.778
2014-01-24 00:00:00 UTC,808.32,851.808
2014-01-25 00:00:00 UTC,804.39,838.856
2014-01-26 00:00:00 UTC,853.51,835.644
2014-01-27 00:00:00 UTC,891.86,841.01
2014-01-28 00:00:00 UTC,777,827.016
2014-01-29 00:00:00 UTC,816.85,828.722
2014-01-30 00:00:00 UTC,817.17,831.278
2014-01-31 00:00:00 UTC,817.93,824.162
2014-02-01 00:00:00 UTC,832.52,812.294
2014-02-02 00:00:00 UTC,836.41,824.176
2014-02-03 00:00:00 UTC,813.38,823.482
2014-02-04 00:00:00 UTC,832.36,826.52
2014-02-05 00:00:00 UTC,830.92,829.118
2014-02-06 00:00:00 UTC,805.08,823.63
2014-02-07 00:00:00 UTC,721.32,800.612
2014-02-08 00:00:00 UTC,701.61,778.258
2014-02-09 00:00:00 UTC,672.07,746.2
2014-02-10 00:00:00 UTC,689.65,717.946
2014-02-11 00:00:00 UTC,697.76,696.482
2014-02-12 00:00:00 UTC,655.26,683.27
2014-02-13 00:00:00 UTC,651.91,673.33
2014-02-14 00:00:00 UTC,623.57,663.63
2014-02-15 00:00:00 UTC,644.1,654.52
2014-02-16 00:00:00 UTC,613.85,637.738
2014-02-17 00:00:00 UTC,645.14,635.714
2014-02-18 00:00:00 UTC,625.01,630.334
2014-02-19 00:00:00 UTC,620.99,629.818
2014-02-20 00:00:00 UTC,593.89,619.776
2014-02-21 00:00:00 UTC,582.75,613.556
2014-02-22 00:00:00 UTC,571.06,598.74
2014-02-23 00:00:00 UTC,622.97,598.332
2014-02-24 00:00:00 UTC,572.39,588.612
2014-02-25 00:00:00 UTC,489.31,567.696
2014-02-26 00:00:00 UTC,567.25,564.596
2014-02-27 00:00:00 UTC,586.28,567.64
2014-02-28 00:00:00 UTC,567.2,556.486
2014-03-01 00:00:00 UTC,560.11,554.03
2014-03-02 00:00:00 UTC,561.35,568.438
2014-03-03 00:00:00 UTC,585.79,572.146
2014-03-04 00:00:00 UTC,675,589.89
2014-03-05 00:00:00 UTC,658.24,608.098
2014-03-06 00:00:00 UTC,654.55,626.986
2014-03-07 00:00:00 UTC,617.62,638.24
2014-03-08 00:00:00 UTC,610.37,643.156
2014-03-09 00:00:00 UTC,636.17,635.39
2014-03-10 00:00:00 UTC,621.17,627.976
2014-03-11 00:00:00 UTC,624.23,621.912
2014-03-12 00:00:00 UTC,638.07,626.002
2014-03-13 00:00:00 UTC,639.03,631.734
2014-03-14 00:00:00 UTC,629.67,630.434
2014-03-15 00:00:00 UTC,638.07,633.814
2014-03-16 00:00:00 UTC,629.55,634.878
2014-03-17 00:00:00 UTC,623.705,632.005
2014-03-18 00:00:00 UTC,612.622,626.7234
2014-03-19 00:00:00 UTC,610.636,622.9166
2014-03-20 00:00:00 UTC,592.07,613.7166
2014-03-21 00:00:00 UTC,582.303,604.2672
2014-03-22 00:00:00 UTC,561.22,591.7702
2014-03-23 00:00:00 UTC,567.779,582.8016
2014-03-24 00:00:00 UTC,571.418,574.958
2014-03-25 00:00:00 UTC,582.55,573.054
2014-03-26 00:00:00 UTC,584.442,573.4818
2014-03-27 00:00:00 UTC,567.64,574.7658
2014-03-28 00:00:00 UTC,503.661,561.9422
2014-03-29 00:00:00 UTC,502.302,548.119
2014-03-30 00:00:00 UTC,469.938,525.5966
2014-03-31 00:00:00 UTC,457.399,500.188
2014-04-01 00:00:00 UTC,478.7163,482.40326
2014-04-02 00:00:00 UTC,437.515,469.17406
2014-04-03 00:00:00 UTC,447.0822,458.1301
2014-04-04 00:00:00 UTC,448.8792,453.91834
2014-04-05 00:00:00 UTC,464.8259,455.40372
2014-04-06 00:00:00 UTC,460.7028,451.80102
2014-04-07 00:00:00 UTC,457.792,455.85642
2014-04-08 00:00:00 UTC,450.4638,456.53274
2014-04-09 00:00:00 UTC,440.1983,454.79656
2014-04-10 00:00:00 UTC,360.8407,433.99952
2014-04-11 00:00:00 UTC,420.0563,425.87022
2014-04-12 00:00:00 UTC,420.66,418.44382
2014-04-13 00:00:00 UTC,414.9495,411.34096
2014-04-14 00:00:00 UTC,457.6338,414.82806
2014-04-15 00:00:00 UTC,520.1233,446.68458
2014-04-16 00:00:00 UTC,529.1625,468.50582
2014-04-17 00:00:00 UTC,494.4,483.25382
2014-04-18 00:00:00 UTC,478.2312,495.91016
2014-04-19 00:00:00 UTC,501.5515,504.6937
2014-04-20 00:00:00 UTC,497.3177,500.13258
2014-04-21 00:00:00 UTC,492.6733,492.83474
2014-04-22 00:00:00 UTC,484.8533,490.9254
2014-04-23 00:00:00 UTC,487.525,492.78416
2014-04-24 00:00:00 UTC,494.2733,491.32852
2014-04-25 00:00:00 UTC,458.8067,483.62632
2014-04-26 00:00:00 UTC,453.8,475.85166
2014-04-27 00:00:00 UTC,437.9216,466.46532
2014-04-28 00:00:00 UTC,436.92,456.34432
2014-04-29 00:00:00 UTC,443.27,446.14366
